,state_name_x,name_of_city,description of the city_x
277,ANDHRA PRADESH,Mahbubnagar ,"This place was formerly known as ÂRukmammapetaÂ and ÂPalamooruÂ. The name was changed to Mahabubnagar on 4th December 1890, in honour of Mir Mahbub Ali Khan Asaf Jah VI, the Nizam of Hyderabad (1869-1911 AD). It has been the headquarters of the district since 1883 AD. The Mahabubnagar region was once known as Cholawadi or the land of the CholasÂ. It is said that the famous Golconda diamonds including famous ÂKOHINOORÂ diamond came from Mahabubnagar district.
Geographically Mahaboobnagar district is located on the Southern end of Telangana area. Karnataka state is in the west, Kurnool district is in the south, Nalgonda District is in the east and Rangareddy district is in the North sides. The two famous rivers Krishna and Tungabhadra enters in this district.

The Krishna river enters in the A.P through this district at Tangidi village of Maganoor Mandal by merging the Bhima river which is the Tribute to Krishna and 2 major projects were constructed on this river at Jurala and Srisailam.

The river Tungabhadra flows from this district and merges with Krishna in this district at Sangameswaram near the historical town Alampur. We can find the Ancient Historical rivers in this district on the river banks and other places.

We can find Old Stone Age and New Stone Age sites at Pedda Maroor of Kollapur mandal and many more places on the Krishna river bank.

Mahaboobnagar district is famous for Megalithic Burial Sites and there are more than 200 sites of Megalithic Period and these are available in the various areas of Mahaboobnagar District Ex: Amrabad, Nadimpalem, Mudumal, Pedda Maroor, Panjugal, Venkatraopet, Kalakonda, Urukondapet and many more areas in this district. Mahabubnagar is popular for innumerable diamond mines such as Golconda mine and is believed to be the place of origin of the famous Kohinoor diamond. There are several religious and heritage sites in and around Mahabubnagar, dating back to time immemorial."
278,GUJARAT,Mahesana ,"Mehsana was established by Mesaji Chavda of Chawda Dynasty in Vikram Samwat 1414. Later Gaekwads established their administrative headquarters to mehsana in 1902. In 1947 with IndiaÂs independence Mehsana was merged with union of india. It was part of bombay state. Later in 1960 with the division of bombay state into maharashtra and gujarat. Mehsana became one of the districts of gujarat. Headquarter of mehsana district is at mehsana taluka.

There is a place built by Gaekwads in city known as Rajmahal.

Mehsana district comprises ten talukas: Mehsana, Kadi, Visnagar, Vijapur, Vadnagar, Kheralu, Becharaji, Satlasana, Jotana and Unjha. The area of Mehsana District is 5600 sq. k.m. In the north borders there is Banaskantha District and in the west there is the border of Patan district. In the south there is Ahmedabad district and south-east there is gandhinagar district. In the east there is Sabarkantha district.

Mehsana has a presence of many major educational institutes. Ganpat University, located 10 km from city, offers specialising in areas as IT, engineering, pharmacy, agriculture, science, management, arts and commerce. Gujarat Power Engineering College and Saffrony Institute of Technology offers courses in engineering and management. B.S Patel College Of Pharmacy offers courses pharmacy. They are affiliated with the Gujarat Technological University. Sarvajanik Kelvani Mandal Trust runs many schools in north Gujarat. It also offers education in field of pharmacy, nursing, homeopathy. There is Gurukul English Medium School in T.J.Highschool Complex 124 years old. This school has been started English Medium in year 2012 With a goal to provide Best English Education. There are many primary and higher secondary schools like N.G. International School which is one of leading CBSE Schools in Mehsana. Today, Mehsana is prime location of tourism well versed with all infrastructural requirements to attract huge flow of tourist. Its tourism consists of Indus valley civilization sites, historical structures, ancient temples, natural habitat, wild life sanctuary, museums, and other such places. Excavation sites are most attractive places of tourism to attract people who have penchant for visiting prehistoric sites. Followers of Hinduism and Jainism are prominent travelers of this place to watch significant temples of Mehsana."
279,UTTAR PRADESH,Mainpuri ,"Mainpuri anciently formed part of the great kingdom of Kanauj, and after the fall of that famous state it was divided into a number of petty principalities, of which Rapri and Bhongaon were the chief. In 1194 Rapri was made the seat of a Moslem governor. Mainpuri fell to the Moguls on BaberÂs invasion in 1526, and, although temporarily wrested from them by the short-lived Afghan dynasty of Shere Shah, was again occupied by them on the reinstatement of Humayun after the victory of Panipat. Like the rest of the lower Doab, Mainpuri passed, towards the end of the 18th century, into the power of the Mahrattas, and finally became a portion of the province of Oudh. When this part of the country was ceded to the British, in 1801, Mainpuri town became the headquarters of the extensive district of Etawah, which was in 1856 reduced by the formation of Etah and Mainpuri into separate collectorates. On the outbreak of the Mutiny in.1857 the regiment stationed at Mainpuri revolted and attacked the town, which was successfully defended by the few Europeans of the station for a week, until the arrival of the Jhansi mutineers made it necessary to abandon the district. Mainpuri is also known for Sarus Crane (Grus antigone). This elegant bird, called krouncha in India, is revered as a symbol of marital fidelity and is celebrated in myth and legend. There are estimated to be 8,000-10,000 sarus cranes in India. Two-thirds of its population resides in Karhal village anjani. Mainpuri district is one of the districts in the Agra division of Uttar Pradesh, India. Mainpuri town is the district headquarters. It consists of six tehsils, namely Mainpuri, Bhongaon, Karhal, Kishni, Kurawali and Ghiror. Mainpuri forms part of the ancient legendary region of Lord Krishna's land called Braj. "
280,MAHARASHTRA,Malegaon ,"Malegaon was once a very minuscule junction named Maliwadi or the hamlet of gardeners. The history of Malegaon is as old as 1740 when a landlord named Naro Shankar Raje Bahadur, from the city started the construction of a fort that took almost twenty-five years to be completed. It was because of the construction work of the fort that thousands of Muslim artisans and workers flocked to Malegaon from different areas in India in search of a source of income.

The Britishers annexed the Malegaon fort in the year 1818 and this led to a large number of Muslims moving to Malegaon from Hyderabad. Again, thousands of Muslim weavers settle down in Malegaon from Varanasi struck by the famine that took place in the year 1862. It is only because of the Muslim population of the city that there are a large number of power looms and weaving industries found in Malegaon. The communal riots that became very common in India during the 1960s, have immensely contributed towards the swelling increase in Muslim migrants to the city of Malegaon. Malegaon was once a very minuscule junction named Maliwadi or the hamlet of gardeners. The history of Malegaon is as old as 1740 when a landlord named Naro Shankar Raje Bahadur, from the city started the construction of a fort that took almost twenty-five years to be completed."
281,PUNJAB,Malerkotla ,"The special relationship between Sikhs and Malerkotla goes back to the period when the tenth Sikh Guru, Sri Guru Gobind Singh ji, was engaged in a series of battles with the oppressive Mughal rules of the region and Sher Mohammed Khan was the Nawab of Maler Kotla . Sher Mohammad Khan a General in the Mughal Army, who actively participated in the military campaign against Sri Guru Gobind Singh ji, though having lost his brother and nephew in the battle of Chamkaur is said to have expressed his opposition to  bricking up alive of the  two young Sahibzadas of Sri Guru Gobind Singh ji, Zorawar Singh (aged nine years) and Fateh Singh (aged seven years), by the Subedar of Sirhind, Wazir Khan in 1705 and is said to have walked out, refusing to be a part of what he declared to be opposed to the tenets of Islam .

It is said that he uttered ÂhaaÂ or ÂhaiÂ in anguish of the punishment imposed on the two Sahibzadas. This became known as  ÂHaa da NaaraÂ.

On learning of this, Guru Gobind Singh blessed the Nawab and the people of Malerkotla with peace everlasting. This incident has been narrated over the years and gave Malerkotla a special place in the Sikh narrative. Gurudwara ÂHaa da NaraÂ was built to commemorate this act of Nawab Sher Mohammed Khan.

Malerkotla survived in alliance with the neighbouring Sikh state of Patiala ,though much reduced in area from its heydays and no doubt helped by the blessings of Sri Guru Gobind Singh ji.. Thereafter it continued under British protection till 1947 when it became the only Muslim majority Sikh state in East Punjab. After the dissolution of the princely states in 1948, Malerkotla became a part of P.E.P.S.U. or Patiala and East Punjab States Union . P.E.P.S.U. itself was dissolved in 1954 and Malerkotla became a part of Punjab.

Malerkotla is historically recognized for being a rare scene of communal harmony during the partition in 1947. In the darkest hour of partition, when the whole of East Punjab, including the princely states of Nabha, Jind and Patiala, was engulfed in a frenzy of communal violence, Malerkotla remained calm. In the popular imagination, Guru Gobind SinghÂs blessings ensured that the princely state remained virtually untouched by the communal violence that engulfed the neighbouring areas. Malerkotla is historically recognized for being a rare scene of communal harmony during the partition in 1947. In the darkest hour of partition, when the whole of East Punjab, including the princely states of Nabha, Jind and Patiala, was engulfed in a frenzy of communal violence, Malerkotla remained calm."
282,MADHYA PRADESH,Mandsaur ,"Epigraphical discoveries have brought to light two ancient royal houses, who call themselves as Aulikaras and ruled from Dashapura (present-day Mandsaur). The first dynasty, who ruled from Dashapura from the beginning comprised the following kings in the order of succession: Jayavarma, Simhavarma, Naravarma, Vishvavarma and Bandhuvarma. The Risthal stone slab inscription discovered in 1983 has brought to light another Aulikara dynasty, which comprised the following kings in the order of succession: Drumavardhana, Jayavardhana Ajitavardhana, Vibhishanavardhana, Rajyavardhana and Prakashadharma. After Parakshadharma, the ruler of Mandsaur was Yashodharma, who is identified with Vishnuvardhana, who erected a pillar of victory at Bayana due to which Bayana's name became Vijaygarh. In all probabilities, he was the son and immediate successor of Prakashadharma. Believed to be in existence since the time of Mahabharata, Mandsaur has connection with Ramayana as well. It is believed to be the home town of Mandodari, wife of Ravana.

Mandsaur is the result of the merger of two villages - Marh and Saur (or Dasaur). It has been ruled by a lot of prominent rulers of ancient as well as recent history.

A remarkable place to see in Mandsaur is the Pashupatinath Temple. On the bank of river Shivna, sits this grand Shiva temple which is famous for the 8 faced Pashupati Shiva Idol. The spiritual aura of the temple embraces the whole town. A small Hanuman temple and a shrine dedicated to Janaki Nath are also a part of the Pashupatinath Temple complex.

What also makes Mandsaur special is its treasure of archaeological sites. Situated in the outskirts of Mandsaur, the remains of Laduna Palace, Sitamau Place, Dashapura Fort, Sondhni pillars in the village of Sondhni, Dharamarajeshwar, Brahmanical rock cut temple, Buddhist caves, Yashodharman Pillar, and prehistoric painted rock shelters narrates the tales of glorious history.

A visit to Yashodharman Archeological Museum will be a bonus as it has curated magnificent sculptures from Hinglajgarh FortSome more places to see in and around Mandsaur are Mandsaur Fort, Gandhi Sagar Sanctuary, Telia Talab.

With passing years this town is known for its historic importance and emerging opium & slate pencil industry. Rich in history, the holy town of Mandsaur will give you the stories to tell from one generation to another"
283,KARNATAKA,Mandya ,"Mandya district is part of large plateau from Mysore to the edges of Easter Ghats. Therefore, there are not many legends describing the origin of the district as such, but there are quite a few legends describing the origin of the place.

Mandya seems to have been known as ÂVedaranyaÂ and later, as ÂVishnupuraÂ in Kritayuga. It is said that a rishi (sage) was doing a penance here and installed an image of God Janardana and was said to be teaching wild beast to pronounce the sacred word, VEDA. On this account, the place came to be known as ÂVedaranyaÂ.

Several years later, but during the same yuga, another rishi, who was residing here, setup an image of the God Sakaleshwara swami and Lord Vishnu, it is said, appeared to him. The place was thereafter renamed as ÂVishnupuraÂ. Another account says that towards the age of Dwapara yuga, king by name Indravarma, who had not issues, came to this place in the hope of getting a son. His prayers were granted, and his son Somavarma built a fort and an agrahara at this place and gave it the name Mandevemu, which, it is believed has been corrupted into Mandya. It is also said that in ancient days, a great and popular sage, called Mandavya, lived in the area doing tapas and the place came to be called Mandya after his name.  KRS Dam and Brindavan Gardens is perhaps the biggest tourist attraction apart from Shivanasumudra Falls, Srirangapatna, Ranganatha Swamy Temple, Ranganathittu Bird Sanctuary among others. Maddur Vada is a famous delicacy from Mandya district which is best enjoyed with a hot cup of filter coffee."
284,KARNATAKA,Mangalore ,"Mangalore (/mÃ¦????l??r/), officially known as Mangaluru,[10] is a major port city of the Indian state of Karnataka. It is located between the Arabian Sea and the Western Ghats about 352 km (219 mi) west of Bangalore, the state capital, 20 km north of KarnatakaÂKerala border, 297 km south of Goa. Mangalore is the state's only city to have all four modes of transportÂair, road, rail and sea. The population of the urban agglomeration was 619,664 according to the 2011 national census of India. It is known for being one of the locations of the Indian strategic petroleum reserves.

The city developed as a port in the Arabian Sea during ancient times, and has since become a major port of India that handles 75 percent of India's coffee and cashew exports. It is also the country's seventh largest container port. Mangalore has been ruled by several major powers, including the Kadambas, Alupas, Vijayanagar Empire, Keladi Nayaks, and the Portuguese. The city was a source of contention between the British and the Kingdom of Mysore rulers Hyder Ali and Tipu Sultan, and was eventually annexed by the British in 1799. Mangalore remained part of the Madras Presidency until India's independence in 1947 and was unified with Mysore State (now called Karnataka) in 1956.

Mangalore is also the administrative headquarters of the Dakshina Kannada district; it is a commercial, industrial, educational, healthcare, and startup hub. The city's international airport is the second-largest and second-busiest airport in Karnataka. Mangalore City Corporation is responsible for the civic administration which manages the 60 wards of the city. Its landscape is characterised by rolling hills, coconut palms, rivers, and hard laterite soil. India's first 3D planetarium with 8K resolution display is located in the city. Mangalore is included as one of the cities in the Smart Cities Mission list and is among the 100 smart cities to be developed in India. It has an average elevation of 22 m (72 ft) above mean sea level. It has a tropical monsoon climate and is under the influence of the southwest monsoon. In 2017, Mangalore was ranked the 48th best city in the world to live in by a US survey, and the only Indian city in the top 50.[11] It has its own International Airport which is around 15 km from the city. Mangalore is a clean city andan important business centre. It is known for its amazing beaches, seaports and a diverse culture. Mangalore has been ruled by various dynasties and empires from ancient times such as the Kadambas, Rashtrakutas, Chalukyas, the Vijaynagar Empire, the Portuguese and the British. Mangalore is an important port city of Karnataka, which is best known for sun-kissed beaches, age-old temples, lush green gardens and lush public parks. For those who wish to spend a relaxing and peaceful vacation, Mangalore makes a perfect choice. "
285,UTTAR PRADESH,Mathura ,"The history of Mathura can be traced to approximately 2500 years. Situated on the banks of the Yamuna River, Mathura is a sacred town for the Hindus that has found mention in historical and mythological anecdotes. Mathura city is mentioned in the oldest epic, the Ramayana. It was first known as Madhuvan because of the thick and dense forests that were once there. Later it was renamed as Mathura. The history of Mathura is inextricably associated with Lord Krishna. Even in the accounts of the illustrious Alexandrian astronomer Ptolemy, we found a passing mention of a city called Modoura, which in Latin means the ""city of Gods"". Besides the Hindus, Mathura was also a revered site for the Jains and the Buddhists as well.

Any discourse on the historical background cannot achieve completion without the mention of the Kushana rule during which, Mathura evolved as a powerful principality to reckon with.

The greatest king of the Kushan Empire was Kanishka. Fa Hien, the celebrated Chinese ambassador, mentions the presence of a number of Buddhist monasteries in Mathura in around 400 AD. Mathura's positioning between the Muslim capitals of Delhi and Agra made it vulnerable to the Muslim attacks. The city was invaded by Mahmud of Ghazni in 1018-19. Aurangzeb too ravaged the city and demolished the temples. Once again in 1757, Mathura had to bear the brunt of Ahmad Shah Durani' s attack. The religious sites were targeted during these invasions and during the time when Heuien Tsang came visiting Mathura, the number of monks at the monasteries had plummeted to 2000 from that of 3000. These invasions were also instrumental in shaping Mathura's history.

There is an intermediate period of darkness in the history of Mathura when the city was relegated into oblivion. The resurgent Hindu movement of the Bhakti cult brought back the focus on Mathura. With a mission to revive the legend of Lord Krishna, the Hindu rulers, rich merchants and chieftains took the initiative to construct temples and riverfront ghats. Mathura at present, is a bustling town and a popular pilgrimage. Situated at a distance of about 140 kms from Delhi and 58 kms from Agra, Mathura witnesses a steady inflow of tourists.

The rich history of Mathura, the birthplace of Lord Krishna where he won over the evil king Kansa, symbolizes the victory of good over evil. Mathura is a holy city for Hinduism, the worldÂs third-largest religion. There are many places of historic and religious importance in Mathura and its neighbouring towns. The twin-city to Mathura is Vrindavan. As the home of Krishna in his youth, the small town is host to a multitude of temples belonging to various sects of Hinduism proclaiming Krishna in various forms and avatars. Some places of interest are:

Keshav Dev Temple (Shri Krishna Janma Bhoomi)
Shri Krishna Janmabhoomi
Baldeo (Dauji Mandir)
Lohwan Mata Mandir
Shri Ratneshwar Mahadev
Gopinath Maharaj Mandir
Vishram Ghat (Bank of River Yamuna)
Shri Jagannath Temple Bhuteshwar Mathura
Prem Mandir, Vrindavan
Vrindavan Chandrodaya Mandir, Vrindavan
Birla Mandir
Naam yog Sadhna Mandir (Baba Jai Gurudev Temple)
Banke Bihari Temple
Iskcon Temple.
Bhuteshwar Temple
The Udasin Kashni Ashram (Ramanrati) near Gokul (Mahaven)
Rangeshwar Temple.
Gateshwar Mahadev (Backside of Krishna Janam Bhoomi)
Jama Mosque, Mathura
Shahi-Eidgah Mosque, adjacent to Shri Krishna Janmabhoomi"
286,UTTAR PRADESH,Maunath Bhanjan ,"From historical and archaeological point of views, Mau is one of the oldest places in the region. Ancient cultural and archaeological remains have been found at multiple places in the area giving enough evidence of long history of human habitat in the area. The known archaeological history of Mau is about 1500 years old, when the entire area was covered under thick dense forest. The nuts who used to live along Tamsa river, are considered to be the oldest inhabitants and the ruler of the area.[3]

As per the records on official webpage of the district, in 1028 A.D. King Syed Shalar Masood Ghazi came with a huge army to conquer the area but he went back to Afghanistan, leaving few of his people in the area. A Sufi saint Baba Malik Tahir and his brother Malik Qasim were part of the remaining group. There are places like Malik Tahir Pura and Qasim Pura in the name of these two saints in Mau city. The tomb of Malik Tahir is also present in Malik Tahir Pura and locally known as Mazaar Malik Tahir Baba.[3]

Around 1540-1545, Sher Shah Suri, the famous emperor who defeated Humayun, during his reign visited Kolhuvavan (Madhuban) to meet the great Sufi saint Syed Ahmad Wadva.[4] Mahvani, one of the daughters of Sher Shah had settled permanently near the dargah of Syed Wadva. The area also finds place in the historical book of Ziyaudeen Barni with a description that the great Mughal emperor Akbar passed through Mau on his way to Allahabad. Since time immortal, labourer and artisans who were the original inhabitants of this land has kept the fine saree art work alive and despite a gradual decline of the handloom industry in the eastern Uttar Pradesh, the saree industry of Mau still remains the last bastion of handicraft in the area otherwise an industrially thriving region till the end of last century. It is also believed that one of Shah Jahan's daughter, Jahanara Begum had also settled in that area where she built a mosque. The original structure of the mosque is not surviving anymore but place is known as Shahi Qatra and there is a Shahi Mosque in that locality reminding of its past glory. "
287,WEST BENGAL,Medinipur ,"A number of prehistoric sites of great interest[by whom?] are being excavated throughout the West Midnapore district. In ancient times the region seems to be highly influenced by Jainism and Buddhism. Coins issued by Samudragupta have been found in the near vicinity of the town.[3] The kingdom of Shashanka and Harshavardhana also included part of undivided Midnapore in their kingdom. However, the most significant archaeological site in the region is the bustling port of Tamralipta near present-day Tamluk, a site noted in the travelogues of Faxian and Xuanzang. Later Chaitanya passed through the area on his way from Puri to Varanasi as documented in the Chaitanya Charitamrita. After the fall of last independent Hindu dynasty of Kalinga-Utkala, Gajapati Mukunda Deva in the 16th century, this region came under one of the five Sarkars of Mughalbandi Odisha i.e. Jaleswar Sarkar which was ruled by the Subehdar of Odisha. The north boundary of Jalshwar was Tamluk and south was Soro and Dhalbhumgarh in the west to the Bay of Bengal in the east. Bahadur Khan was the ruler of Jaleshwar Sarkar or Hijli (including Midnapore) during the time of Shah Jehan. He was defeated by Shah Shuja, the second son of Shah Jehan, then the subahdar of Bengal.

During the era of the Muslim rulers of Bengal nawab, Alivardi Khan's general Mir Jafar fought successfully against Mir Habib's lieutenant Sayyid Nur near Midnapore town in 1746. This was part of his campaign to regain Odisha and thwart the Maratha attacks on Bengal. Mir Habib came up from Balasore and was joined by the Marathas, but Mir Jafar fled to Burdwan, leaving Mir Habib to retake Midnapore with ease. Alivardi defeated Janoji Bhosle, a Maratha chieftain, in a severely contested battle near Burdwan in 1747 and Janoji fled to Midnapore. The Marathas held on to Odisha including Midnapore until 1749 when it was reconquered by Alivardi. The Marathas continued to raid Midnapore, which proved disastrous for the residents.

In 1756, Alivardi died and his successor was Siraj-ud-daulah. On 20 June 1757, he was betrayed by Mir Jafar to the East India Company under the command of Lord Robert Clive at Plassey. This consolidated the company's hold on Bengal and Odisha (along with Midnapore). The district of Midnapore which included Dhalbhum or Ghatshila, now in Singhbhum, Jharkhand was annexed in 1760 along with Burdwan and Chittagong both handed over to the East India Company by Mir Qasim. The last free king of Dhalbhum was imprisoned in Midnapore town.

Some of the Malla kings of Mallabhum in the Bankura district held land in northern Midnapore district, while the Raj rules of Narajole, Jhargram, Lalgarh, Jamboni, and Chandrakona held sway in their local areas. The Raj rulers in Rajasthan would pay homage to Jagannath but carves out their own territories under the supremacy of the Hindu empires of Odisha.

Midnapore is notable for its contribution in the history of Indian freedom movement since it has produced many martyrs. During the British Raj, the city became a centre of revolutionary activities, such as the Santal Revolt (1766Â1767) and the Chuar rebellion (1799). The Zilla School, now known as Midnapore Collegiate School was the birthplace of many extremist activities. Teachers like Hemchandra Kanungo inspired and guided the pupils to participate in the Indian Freedom Movement. Three British District Magistrates were assassinated in succession by the revolutionaries Bimal Dasgupta, Jyothi Jibon Ghosh, Pradyot Kumar Bhattacharya, Prabhakangsu Pal, Mrigan Dutta, Anath Bandhu Panja, Ramkrishna Roy, Braja Kishor Chakraborty, Nirmal Jibon Ghosh. Khudiram Bose and Satyendranath Basu were some of the young men that laid down their lives for the freedom of India. Kazi Nazrul Islam attended political meetings in Midnapore in the 1920s. Raja Narendra Lal Khan, ruler of Narajole, who donated his palace for Midnapore's first college for women, had been implicated, (although it turned out to be false) for planting a bomb.

Khudiram Bose was born in the Habibpur in 1889 and studied at Midnapore Collegiate School up to the eight standard. He was first caught by a policeman for distributing seditious leaflets in Midnapore in 1906. He was an anarchist and protested against the moderate policies of Surendranath Banerjea. Khudiram was sentenced to death for a failed attempt to kill Magistrate Kingsford. Satyendranath was executed on 21 November 1908. Noted freedom fighter and Bengal Province Congress Committee President Birendranath Sasmal practised at the Midnapore High Court.  Midnapore is notable for its contribution in the history of Indian freedom movement since it has produced many martyrs. During the British Raj, the city became a centre of revolutionary activities, such as the Santal Revolt (1766Â1767) and the Chuar rebellion (1799)."
288,UTTAR PRADESH,Meerut ,"Meerut is situated between the holy rivers Ganga and Yamuna Meerut is a busy trade centre of western Uttar Pradesh. Thanks to its geographical importance, the fertile Ganga-Yamuna doab had been an important centre of human activities since the very early times of Vedic Civilisation.

Meerut probably derives its name from the word ÂMaya RashtraÂ, meaning the country of Maya, who was the architect of the asuras (the demons) as per the Hindu mythology. His daughter Mandodari was the wife of Ravana, the antagonist of the first epic, Ramayana. In Mahabharata, the Kauravas had their capital in Hastinapur, which is situated in present day Meerut District.

From the medieval period onwards, the proximity of this city to Indraprastha (present day Delhi) helped it play an important role in the affairs of India. However, Meerut attracted the attention of the historians for the first time when the brave people of this city offered fierce resistance to the invading forces of Qutub-ud-din Aibak (11th century AD) and Timur (14th century AD). Since then, it remained under the suzerainty of those who ruled over Delhi.

With the capture of power by the British, Meerut became a major military centre. The aggrieved Indian soldiers of the British Army began their fight against the imperial powers in this soil on 10th May, 1857. They captured the control of the city in one day and marched to Red Fort in Delhi, which was considered to be the symbol of control over the whole of India. On their way, they were joined by the common people who shouted patriotic war cries. By the next morning, Red Fort had fallen into the hand of the freedom fighters.

The spark that began in Meerut soon spread all over India and acquired the form of a nationalistic struggle for independence. It took one year for the British to put down the freedom struggle. Nevertheless, the First War of Indian Independence that began in Meerut continued to inspire the patriots all over the country. It paved the way for the organised national movement in later 19th century. The grateful country celebrated the 150th anniversary the First War of Independence in a suitable manner in 2007.

Meerut is called the Âsports city of IndiaÂ because of the thriving sports goods industry here. Sugar and electronics goods are other flourishing industries. Meerut and nearby Modinagar form an educational hub adjacent to the national capital.  The city is one of the largest producers of sports goods, and the largest producer of musical instruments in India. The city is also an education hub in western Uttar Pradesh. Meerut is also known as the ÂSports City Of IndiaÂ. A developing city in the state of Uttar Pradesh, Meerut is an ancient city with civilization that dates back to the Indus Valley. It is approximately 65 Km from the capital city of Delhi. Meerut is a city with immense historical significance as it played a vital role in the 1857 revolt."
289,ANDHRA PRADESH,Miryalaguda ,"Miryalaguda is a city in Nalgonda district of the Indian state of Telangana. Government of India announced Miryalaguda to be developed under the Atal Mission for Rejuvenation and Urban Transformation (AMRUT) scheme.

Miryalguda is famous for the paddy growth and it is listed among the top  paddy markets in Telangana. The  agriculture market yard is the largest in Telangana, with a size of 45 acres. Water from Left canal of Nagarjuna Sagar makes Miryalguda and its surroundings green and commercially rich. The town is quite famous for its large number of rice mills in state and country, and it also has famous F.C.I (Food Corporation Of India) near to the chinthapally village.

The young town has been promoted as Municipality in the year 1985, youngest in the district and is competing with district capital Nalgonda. The population has been growing rapidly due to industrialization and its convenient location between coastal Andhra and Telangana. It is in close proximity to river Krishna. The only town in the district with safe, saturated and well organized drinking water supply. The town reflects both ancient traditions and carrying culture of Telangana, at the same time with new generation innovative activities.

The town gradually changing its infrastructure with the construction of new municipal offices, shopping complexes, apartments and other important commercial establishments. The State highway constructed through the city in year 1994 poured great opportunities to the town in terms of accessibility and exposure. It has become the most congested town in the district as a result of new settlers and rapid expansion. The land rates around have gone up 10 fold in 4 years. It is expected to be the most populous city in the district by year 2020. Fifth Additional District Court in Nalgonda District is established in Miryalaguda in the year 2008. Miryalguda is famous for the paddy growth and it is listed among the top paddy markets in Telangana. The agriculture market yard is the largest in Telangana, with a size of 45 acres. Water from Left canal of Nagarjuna Sagar makes Miryalguda and its surroundings green and commercially rich."
290,UTTAR PRADESH,Modinagar ,"Modinagar is a town and a municipal board in Ghaziabad district in the Indian state of Uttar Pradesh. It's just 24 km from Ghaziabad city, 48 km from New Delhi. It is a part of National Capital Region.

The city was founded in 1933 by Rai Bahadur Gujar Mal Modi who established the Modi Group of Industries here along with his brother, Kedar Nath Modi. It is approximately 45 kilometres north-east of New Delhi. It is situated on Ghaziabad Meerut National Highway No. 58, approximately equally distant from Meerut and Ghaziabad. It is best known as the home of business conglomerate Modi Enterprises. In recent years, Modinagar has been developed as an educational hub as many new institutions are being established in and around the city due to its location in National Capital Region. Modinagar is also a part of DelhiMeerut Regional Rapid Transit System. It is connected to recently constructed Delhi - Meerut Expressway (NE-3) via Bhojpur exit. It is best known as the home of business conglomerate Modi Enterprises. In recent years, Modinagar has been developed as an educational hub as many new institutions are being established in and around the city due to its location in National Capital Region."
291,PUNJAB,Moga ,"Moga is a city in the Indian state of Punjab. It was made a part and headquarters of the Moga district (the 17th District in the state) on 24 November 1995, by the then Chief Minister Harcharan Singh Brar. Before becoming a district, Moga was a part of Faridkot District as a tehsil. Moga is situated on the National Highway 95 (NH-95 Ferozpur-Ludhiana road). The area of Dharamkot block with 150 villages has been merged into Moga district, which falls under the jurisdiction of Ferozpur division.  Renowned for its rich culture, Moga promises a memorable experience for every traveler. Cherishing the Sikh heritage, the city houses several Gurudwaras. The Dina Sahib Gurudwara, dedicated to the memory of Guru Gobind Singh, is considered among the most sacred places of worship. Takhatpura is another shrine dedicated to three of the Sikh leaders, Guru Nanak, Guru Gobind and Guru Hargobind. Visit these religious sites during festive occasions, such as Lohri or Maghi, to enjoy the rituals and celebrations.

The Geeta Bhawan Temple is a must-visit for the aesthetic appeal of its beautiful mirror mosaic work. The Kashmiri Park located near the temple is an excellent place to indulge in leisure activities.

Shoppers will find much delight at the local markets of Moga, such as Main Bazaar and Bagh Gali. The city is especially famous for the traditional handicrafts and handloom woven fabrics. The traditional Punjabi attire, hand-embroidered fabrics, clay artifacts and hand-woven fabrics can be bought here.

Visit the various manufacturing units, such as the dairy and food processing plants, spread across town to get a glimpse of the citys industrial progress."
292,UTTAR PRADESH,Moradabad ,"Moradabad (pronunciation (help·info)) is a city, commissionary and municipal corporation in Moradabad district of Indian state of Uttar Pradesh. Moradabad is situated on the banks of the Ramganga river, at a distance of 167 km (104 mi) from the national capital, New Delhi and 344 km north-west of the state capital Lucknow.

Founded by Rustam Khan, the governor of Katehar under the Mughal emperor Shahjahan, Moradabad is named after prince Murad Bakhsh, the youngest son of the emperor. Soon after its establishment, the city replaced Sambhal as the seat of the governor of Katehar. Moradabad was subsequently annexed into the Kingdom of Rohilkhand by Ali Mohammed Khan in 1740. The city came under the control of Oudh State in 1774 after the fall of Rohillas in the First Rohilla War and was then ceded to the British East India Company by the Nawab of Oudh in 1801.[3] In the early nineteenth century, the Rohilkhand area was divided among the Rampur State and two districts - Bareilly and Moradabad; Moradabad became the headquarters of the latter.

Moradabad was connected with railway lines during the latter half of the nineteenth century. A line connecting Moradabad to Chandausi was built in 1872 and it was continued up to Bareilly in 1873. The Bareilly-Moradabad chord via Rampur was completed in 1894, which was extended to Saharanpur in 1886. A branch line to Aligarh via Chandausi was opened in 1894, while Moradabad was linked to Ghaziabad in 1900.[4][5] Moradabad is the divisional headquarters of Northern Railway (NR).[6][7] The city is known as Pital Nagri (""Brass City"") for its famous brass handicrafts industry.[8] In October 2014, Livemint included Moradabad in its list of ""25 Emerging Cities To Watch Out For In 2025"".  Moradabad is renowned for brass work and has carved a niche for itself in the handicraft industry through out the world. The modern,attractive, and artistic brass ware, jewelry and trophies made by skilled artisans are the main crafts."
